term,coef,odds_ratio,ci_low,ci_high,p_value
const,-3.521329751460245,0.029560101433596334,0.02539721409025614,0.03440533255573669,0.0
HbA1c measured,-0.028771687761327883,0.9716382760544767,0.8909296341492183,1.0596582528042782,0.5155084010601386
Medication adjusted,0.14011058565398135,1.1504010096712474,1.0731085271396494,1.2332606158485975,7.869133867161194e-05
Both (interaction),-0.08973916100727411,0.9141696052542775,0.7907507172365088,1.056851481705083,0.2252350951097979
Diagnoses recorded,0.03662092943158757,1.0372997365008785,1.0220834277545434,1.0527425786647178,1.1918232381105583e-06
Active diabetes agents,0.008146593486745683,1.008179867274097,0.9787648530032337,1.038478896803477,0.5897238057361505
Length of stay,0.04049147098386531,1.0413224282088507,1.0313905781805919,1.051349917703933,1.220560146765439e-16
Medications administered,0.004184829368504454,1.0041935979943937,1.0002689433550418,1.0081336514063863,0.03621055815605498
Procedures,-0.019947619420839887,0.9802500180256764,0.9640696779230391,0.9967019187964192,0.01882495789110453
Any prior inpatient,0.6333084486001103,1.883832844703899,1.7596629226116467,2.016764768514931,4.796636498715925e-74
Any prior emergency,0.2174849650138187,1.2429467416801605,1.1339667276960361,1.3624002935185309,3.3966210278951312e-06
Any prior outpatient,0.0399332514196578,1.0407413038693545,0.9650843657629509,1.122329300945003,0.29972211140029825
Age (band midpoint),0.00840626584996968,1.0084416977163804,1.0066371688893796,1.0102494613973962,3.6067692929295964e-20
Hospice discharge,-1.254680656280274,0.28516689994385325,0.17275344463464487,0.47072960539554554,9.276704103860261e-07
