model,attribute,group,threshold,n,events,non_events,tp,fp,tn,fn,flagged_n,flagged_rate,small_event_count,small_non_event_count,tpr,tpr_ci_low,tpr_ci_high,fpr,fpr_ci_low,fpr_ci_high
gradient_boosting,race,AfricanAmerican,0.05,12692,1093,11599,966,8797,2802,127,9763,0.7692247084777812,False,False,0.8838060384263495,0.8634495400475317,0.9014741353413245,0.7584274506422968,0.7505530480680811,0.7661307333381098
gradient_boosting,race,AfricanAmerican,0.1,12692,1093,11599,471,2634,8965,622,3105,0.24464229435865112,False,False,0.4309240622140897,0.40185864357226375,0.46047332903355587,0.22708854211569962,0.21955531847860316,0.2348024763366438
gradient_boosting,race,AfricanAmerican,0.15,12692,1093,11599,233,867,10732,860,1100,0.08666876772770249,False,False,0.2131747483989021,0.18992124437741473,0.23843734385999552,0.07474782308819726,0.07010139785415374,0.07967583257585915
gradient_boosting,race,AfricanAmerican,0.2,12692,1093,11599,126,401,11198,967,527,0.04152221872045383,False,False,0.11527904849039342,0.09767880191409009,0.13557410511567394,0.0345719458574015,0.03139826492289377,0.03805381383563124
gradient_boosting,race,AfricanAmerican,0.25,12692,1093,11599,78,204,11395,1015,282,0.022218720453829183,False,False,0.07136322049405307,0.05755586202630208,0.08817300109722812,0.017587723079575825,0.01535035281179354,0.020144526634965132
gradient_boosting,race,Asian,0.05,491,41,450,37,334,116,4,371,0.7556008146639511,False,False,0.9024390243902439,0.7745231869447661,0.9614029151019107,0.7422222222222222,0.6998772115181738,0.7804667406770981
gradient_boosting,race,Asian,0.1,491,41,450,18,89,361,23,107,0.21792260692464357,False,False,0.43902439024390244,0.2989013173655037,0.5895947277789393,0.19777777777777777,0.16360024144469276,0.2370715246235917
gradient_boosting,race,Asian,0.15,491,41,450,11,25,425,30,36,0.07331975560081466,False,False,0.2682926829268293,0.15694964047811671,0.4193353310707664,0.05555555555555555,0.03791029087804717,0.08072465922237121
gradient_boosting,race,Asian,0.2,491,41,450,6,10,440,35,16,0.032586558044806514,False,False,0.14634146341463414,0.06884248141295926,0.2844345804248096,0.022222222222222223,0.012114589193206515,0.04041798216474324
gradient_boosting,race,Asian,0.25,491,41,450,5,6,444,36,11,0.02240325865580448,False,False,0.12195121951219512,0.053233364685777176,0.2554421152097689,0.013333333333333334,0.006124728720905236,0.02878054163905288
