attribute,threshold,metric,eligible_groups,minimum_denominator,max_minus_min,highest_group,lowest_group
age_band,0.05,tpr,9,20,0.5485661127862962,[80-90),[10-20)
age_band,0.05,fpr,10,20,0.7750322901142573,[80-90),[0-10)
age_band,0.1,tpr,9,20,0.32793353435555267,[80-90),[10-20)
age_band,0.1,fpr,10,20,0.39648286140089417,[80-90),[0-10)
age_band,0.15,tpr,9,20,0.12523466647655712,[20-30),[40-50)
age_band,0.15,fpr,10,20,0.11295578738201689,[80-90),[0-10)
age_band,0.2,tpr,9,20,0.10379981464318813,[20-30),[10-20)
age_band,0.2,fpr,10,20,0.04781471796787449,[70-80),[0-10)
age_band,0.25,tpr,9,20,0.06997219647822057,[20-30),[10-20)
age_band,0.25,fpr,10,20,0.024540486835568802,[80-90),[0-10)
gender,0.05,tpr,2,20,0.004071850496878304,Female,Male
gender,0.05,fpr,2,20,0.01076683560085534,Male,Female
gender,0.1,tpr,2,20,0.03463419371143589,Female,Male
gender,0.1,fpr,2,20,0.022488448208070055,Female,Male
gender,0.15,tpr,2,20,0.008519640690631991,Female,Male
gender,0.15,fpr,2,20,0.008064527310985961,Female,Male
gender,0.2,tpr,2,20,0.005142989136043635,Female,Male
gender,0.2,fpr,2,20,0.002721450660648682,Female,Male
gender,0.25,tpr,2,20,0.0008829148460526431,Male,Female
gender,0.25,fpr,2,20,0.003001147608758359,Female,Male
race,0.05,tpr,6,20,0.05122950819672134,Hispanic,Other
race,0.05,fpr,6,20,0.0871200345929164,Caucasian,Hispanic
race,0.1,tpr,6,20,0.13319672131147542,Hispanic,Other
race,0.1,fpr,6,20,0.07877260576840456,Caucasian,Asian
race,0.15,tpr,6,20,0.11829268292682929,Asian,Other
race,0.15,fpr,6,20,0.030162313307182984,Caucasian,Asian
race,0.2,tpr,6,20,0.10830136030694106,Hispanic,Missing
race,0.2,fpr,6,20,0.019750069813558726,Caucasian,Missing
race,0.25,tpr,6,20,0.09568654807580515,Hispanic,Missing
race,0.25,fpr,6,20,0.009054574806019894,Hispanic,Missing
