encoded_feature,source_feature,mean_abs_shap,rank
cat__discharge_disposition_id_1,discharge_disposition_id,0.0182084378933148,1
num__number_inpatient,number_inpatient,0.012090540652471409,2
cat__discharge_disposition_id_22,discharge_disposition_id,0.005344901913390149,3
num__n_active_diabetes_meds,n_active_diabetes_meds,0.005249885544385993,4
cat__discharge_disposition_id_3,discharge_disposition_id,0.0052244072375412995,5
num__age_midpoint,age_midpoint,0.005121632535453086,6
cat__diag_1_group_circulatory,diag_1_group,0.004989692497861142,7
num__time_in_hospital,time_in_hospital,0.004435745690376706,8
num__num_lab_procedures,num_lab_procedures,0.00436160788649265,9
num__anomaly_score,anomaly_score,0.0036944487819162604,10
num__number_diagnoses,number_diagnoses,0.0034390930357604548,11
num__procedures_per_day,procedures_per_day,0.003011763986408342,12
num__num_medications,num_medications,0.002861742205980537,13
num__labs_per_day,labs_per_day,0.002726520773797971,14
num__meds_per_day,meds_per_day,0.0026048544671213075,15
cat__discharge_disposition_id_5,discharge_disposition_id,0.002588017105053524,16
cat__discharge_disposition_id_6,discharge_disposition_id,0.002538283354872927,17
num__num_procedures,num_procedures,0.0022474436654338396,18
bin__any_med_adjusted,any_med_adjusted,0.002118081972422168,19
num__number_emergency,number_emergency,0.0019446311529733524,20
bin__any_number_inpatient,any_number_inpatient,0.0019423214861433973,21
cat__admission_source_id_1,admission_source_id,0.001630936903743613,22
cat__diag_1_group_other,diag_1_group,0.00142930583416888,23
cat__diag_1_group_respiratory,diag_1_group,0.0013946809721640948,24
bin__high_prior_utilizer,high_prior_utilizer,0.0012899048381286012,25
num__number_outpatient,number_outpatient,0.0011840181963076492,26
cat__diag_1_group_diabetes,diag_1_group,0.0011113623824389048,27
bin__a1c_tested,a1c_tested,0.001105633311489471,28
cat__gender_Female,gender,0.0010485340175283287,29
cat__diag_1_group_musculoskeletal,diag_1_group,0.0010084289022086472,30
cat__discharge_disposition_id_2,discharge_disposition_id,0.000816056399076712,31
cat__admission_type_id_3,admission_type_id,0.0007875402237727802,32
cat__admission_source_id_17,admission_source_id,0.0007417836649704778,33
cat__diag_1_group_mental,diag_1_group,0.0007024416066617264,34
cat__admission_type_id_1,admission_type_id,0.000651455148419434,35
cat__diag_1_group_genitourinary,diag_1_group,0.0006481741194627635,36
cat__discharge_disposition_id_25,discharge_disposition_id,0.0006128810073507901,37
cat__admission_source_id_5,admission_source_id,0.0005287669852704182,38
cat__diag_1_group_nervous_sensory,diag_1_group,0.0005026017374809752,39
cat__admission_source_id_4,admission_source_id,0.0004714352858809007,40
cat__discharge_disposition_id_18,discharge_disposition_id,0.00044784772382499714,41
cat__discharge_disposition_id_infrequent_sklearn,discharge_disposition_id,0.00043744628077211083,42
cat__diag_1_group_supplementary,diag_1_group,0.00043548615725524524,43
cat__max_glu_serum_Missing,max_glu_serum,0.00042546698877291006,44
cat__admission_type_id_5,admission_type_id,0.0004082456168531741,45
cat__admission_source_id_7,admission_source_id,0.000404922478024946,46
cat__admission_type_id_6,admission_type_id,0.000380508040429464,47
cat__admission_type_id_2,admission_type_id,0.0003593480047346673,48
cat__diag_1_group_neoplasms,diag_1_group,0.00033577149562036176,49
bin__is_hospice,is_hospice,0.000320520665395562,50
cat__a1c_result_Norm,a1c_result,0.0003137078697083956,51
cat__a1c_result_>8,a1c_result,0.0003114196625437794,52
cat__discharge_disposition_id_23,discharge_disposition_id,0.00028568829242325757,53
cat__diag_1_group_endocrine_other,diag_1_group,0.0002830666630160616,54
cat__diag_1_group_injury,diag_1_group,0.00027216117961620276,55
cat__admission_source_id_20,admission_source_id,0.00026896734160083914,56
bin__any_number_emergency,any_number_emergency,0.0002508954120680585,57
cat__admission_source_id_2,admission_source_id,0.00019910433229449465,58
cat__a1c_result_Missing,a1c_result,0.00019414037334218205,59
cat__diag_1_group_digestive,diag_1_group,0.00015512627939707327,60
cat__max_glu_serum_Norm,max_glu_serum,0.00012938404182807046,61
cat__gender_Male,gender,0.0001287461800890141,62
bin__any_number_outpatient,any_number_outpatient,0.00012568166793159037,63
bin__a1c_tested_and_changed,a1c_tested_and_changed,0.00012156530966125938,64
cat__admission_source_id_6,admission_source_id,0.00011591673965174154,65
cat__a1c_result_>7,a1c_result,0.00011200300780713117,66
cat__discharge_disposition_id_13,discharge_disposition_id,0.0001000578777368816,67
cat__admission_type_id_8,admission_type_id,9.9804425026209e-05,68
cat__max_glu_serum_>200,max_glu_serum,8.393201542234252e-05,69
cat__admission_source_id_3,admission_source_id,4.598129617795936e-05,70
cat__diag_1_group_infectious,diag_1_group,3.9888065041143825e-05,71
cat__discharge_disposition_id_4,discharge_disposition_id,2.58175938591214e-05,72
cat__max_glu_serum_>300,max_glu_serum,2.5672874360433334e-05,73
cat__discharge_disposition_id_7,discharge_disposition_id,1.3061272096542814e-05,74
cat__admission_type_id_infrequent_sklearn,admission_type_id,0.0,75
cat__diag_1_group_infrequent_sklearn,diag_1_group,0.0,76
cat__discharge_disposition_id_14,discharge_disposition_id,0.0,77
cat__admission_source_id_infrequent_sklearn,admission_source_id,0.0,78
