outcome,feature,mean_ap_decrease,repeat_sd,folds,repeats_per_fold,rank
has_diabetes,age_band,0.0447616531746979,0.009185442138560033,5,3,3
has_diabetes,sex,0.005371632557349319,0.0036923827134493995,5,3,8
has_diabetes,bmi,0.06996438126441189,0.018006809517674187,5,3,2
has_diabetes,high_bp,0.038738825264694625,0.010109088706349804,5,3,4
has_diabetes,high_chol,0.02419726212497085,0.0101873647395321,5,3,5
has_diabetes,chol_checked,0.006405072825980677,0.003764014524153615,5,3,7
has_diabetes,smoker,0.0004347613299131988,0.0004935806321194616,5,3,12
has_diabetes,phys_activity,-7.97335082161806e-05,0.000499905095056671,5,3,17
has_diabetes,eats_fruit,4.788783184654181e-05,0.00039098823592796693,5,3,15
has_diabetes,eats_veg,-0.00011452720696485767,0.00033221345445417783,5,3,18
has_diabetes,heavy_alcohol,0.006672781278591026,0.0023062948418123394,5,3,6
has_diabetes,gen_health,0.10071205818773307,0.009623834381950715,5,3,1
has_diabetes,mental_health_days,0.00028936332222080364,0.00044988432432327045,5,3,13
has_diabetes,phys_health_days,0.0007401212149279394,0.0009484561599526786,5,3,11
has_diabetes,difficulty_walking,0.0012816629211117926,0.0015640410863284394,5,3,10
has_diabetes,education,-0.000355527694659837,0.0013820034080805556,5,3,19
has_diabetes,income_band,0.003797613702833602,0.0031878088905307393,5,3,9
has_diabetes,has_coverage,1.095679131536779e-05,0.0004472202724352812,5,3,16
has_diabetes,skipped_care_cost,7.639146516944899e-05,0.0002628566990902694,5,3,14
has_stroke,age_band,0.02505988247569628,0.014807730290963368,5,3,2
has_stroke,sex,0.0009123598165564018,0.004388210516893481,5,3,10
has_stroke,bmi,0.003086132017793608,0.002920427699227704,5,3,7
has_stroke,high_bp,0.011778003830358827,0.010218234654821636,5,3,5
has_stroke,high_chol,0.007727764470150781,0.005753282442617624,5,3,6
has_stroke,chol_checked,0.0007977843146201073,0.0013627286095607288,5,3,11
has_stroke,smoker,0.0021481108732026894,0.0063923616559744805,5,3,8
has_stroke,phys_activity,-0.00022744251962510212,0.00048533759508602323,5,3,15
has_stroke,eats_fruit,-0.001637486017556496,0.0013195458371162343,5,3,18
has_stroke,eats_veg,0.0020873105390350386,0.002618247210020114,5,3,9
has_stroke,heavy_alcohol,-3.153011567482711e-05,0.001292923715642527,5,3,14
has_stroke,gen_health,0.03693326182283045,0.009548483947770822,5,3,1
has_stroke,mental_health_days,-0.0014959560242445806,0.0036883624469833576,5,3,17
has_stroke,phys_health_days,6.612115415405851e-05,0.0034579563510972553,5,3,13
has_stroke,difficulty_walking,0.014646603298213217,0.010202440175297138,5,3,3
has_stroke,education,-0.002695961405402917,0.002646545165358581,5,3,19
has_stroke,income_band,0.012663979212566739,0.011484169634418335,5,3,4
has_stroke,has_coverage,-0.0005350444605990065,0.0006509707994219444,5,3,16
has_stroke,skipped_care_cost,0.0001681383901636265,0.003823985259977364,5,3,12
has_cardiac,age_band,0.09851859696782851,0.012977033849224476,5,3,1
has_cardiac,sex,0.040527455564257346,0.010558363409728558,5,3,3
has_cardiac,bmi,-3.734279174136823e-05,0.0006385136255059287,5,3,14
has_cardiac,high_bp,0.018220637964410022,0.007832336319836814,5,3,5
has_cardiac,high_chol,0.02985211885501483,0.006867213594712961,5,3,4
has_cardiac,chol_checked,0.0001908422054074488,0.0023394319451694443,5,3,12
has_cardiac,smoker,0.007599423157051529,0.007281766964207517,5,3,6
has_cardiac,phys_activity,-0.0003064920099491849,0.0010809638547373721,5,3,18
has_cardiac,eats_fruit,0.0001142181562759248,0.00032770841614001536,5,3,13
has_cardiac,eats_veg,0.00028312302100690724,0.00041646474377870184,5,3,11
has_cardiac,heavy_alcohol,0.001160762362902749,0.0013678012421692704,5,3,9
has_cardiac,gen_health,0.09771249058332859,0.015334913016467656,5,3,2
has_cardiac,mental_health_days,-7.306839512736622e-05,0.0011941162465659895,5,3,16
has_cardiac,phys_health_days,0.0003280288782939178,0.0005888382806054242,5,3,10
has_cardiac,difficulty_walking,0.006074555746921621,0.0036374856913220853,5,3,7
has_cardiac,education,-0.00029514681003072564,0.0015882382695325062,5,3,17
has_cardiac,income_band,0.0034965369594617862,0.003854135784478805,5,3,8
has_cardiac,has_coverage,-7.10454463100696e-05,0.00033202617177101947,5,3,15
has_cardiac,skipped_care_cost,-0.000886335502845285,0.003427168470918384,5,3,19
